_id,FISCAL_YEAR,CAMPUS,CIP,CIP_DESC,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,OUTCOME,AWARDS
266,Fiscal Year 2019,Maui College,520301,Accounting,Career & Tech Ed,Business Education,Accounting,,,Certs of Achievement,14
267,Fiscal Year 2019,UH Manoa,440701,Social Work,School of Social Work,School of Social Work,Social Work,,,Master's Degrees,92
268,Fiscal Year 2019,Leeward CC,011101,"Plant Sciences, General",Career & Tech Ed,Technology,Plant Bioscience,,,Associate Degrees,4
269,Fiscal Year 2019,UH Manoa,511201,Medicine,School of Medicine,School of Medicine,Medicine,,,Other,73
270,Fiscal Year 2019,UH Hilo,520301,Accounting,Col of Business & Economics,Business & Economics,Accounting,,,Bachelor's Degrees,14
271,Fiscal Year 2019,Honolulu CC,120401,Cosmetology,Career & Tech Ed,Technology,Cosmetology,,,Certs of Achievement,21
272,Fiscal Year 2019,Maui College,050202,American Indian/Native Studies,General & Pre-Prof Ed,Hawaiian Studies,,,,Associate Degrees,12
273,Fiscal Year 2019,UH Manoa,512201,Pub Health Sci & Epidemiology,School of Social Work,School of Social Work,Public Health,Public Health,,Master's Degrees,13
274,Fiscal Year 2019,Honolulu CC,301801,Natural Science,General & Pre-Prof Ed,Natural Sciences,Natural Science,,,Associate Degrees,4
275,Fiscal Year 2019,Leeward CC,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Tech,Business Technology,,Associate Degrees,10
276,Fiscal Year 2019,UH Hilo,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics,,,Bachelor's Degrees,7
277,Fiscal Year 2019,UH Manoa,160102,Linguistics,College of Arts & Sciences,"Lang, Ling & Lit",Linguistics,,,Doctoral Degrees,3
278,Fiscal Year 2019,Kapi`olani CC,510907,Radiology,Career & Tech Ed,Health Services,Radiologic Technology,,,Associate Degrees,16
279,Fiscal Year 2019,Leeward CC,050202,American Indian/Native Studies,General & Pre-Prof Ed,Hawaiian Studies,,,,Associate Degrees,4
280,Fiscal Year 2019,UH Manoa,160402,Russian,College of Arts & Sciences,"Lang, Ling & Lit",Lang & Lit of Europe & Amer,Russian,Russian,Bachelor's Degrees,3
281,Fiscal Year 2019,UH Manoa,140301,Agricultural Engineering,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Molecular Biosci & Bioeng,Biological Engineering,Biological Engineering,Bachelor's Degrees,3
282,Fiscal Year 2019,UH Manoa,260503,Medical Micro & Bacteriology,School of Medicine,School of Medicine,Biomed Sci (Tropical Medicine),,,Doctoral Degrees,1
283,Fiscal Year 2019,Hawai`i CC,470605,Diesel Mechanics,Career & Tech Ed,Technology,Diesel Mechanics,,,Associate Degrees,2
284,Fiscal Year 2019,Honolulu CC,500999,"Music, Other",Career & Tech Ed,Technology,Music & Entertain Learning Exp,,,Associate Degrees,10
285,Fiscal Year 2019,UH Manoa,260406,Cell/Cellular & Molecular Biol,School of Medicine,School of Medicine,Cell & Molecular Biology,,,Master's Degrees,2
286,Fiscal Year 2019,Honolulu CC,470605,Diesel Mechanics,Career & Tech Ed,Technology,Diesel Mechanics,,,Certs of Achievement,16
287,Fiscal Year 2019,Maui College,513801,Registered Nursing/Reg Nurse,Career & Tech Ed,Health Services,Nursing,Nursing,,Associate Degrees,40
288,Fiscal Year 2019,Kaua`i CC,510801,Medical/Clinical Assistant,Career & Tech Ed,Health Services,Medical Assisting,,,Certs of Achievement,12
289,Fiscal Year 2019,UH Manoa,260102,Biomedical Science,School of Medicine,School of Medicine,Biomedical Sciences,,,Master's Degrees,1
290,Fiscal Year 2019,UH Hilo,422709,Clinical Psychopharmacology,College of Pharmacy,Pharmacy,Clinical Psychopharmacology,,,Master's Degrees,1
291,Fiscal Year 2019,Kapi`olani CC,520302,Acctg Technician & Bookkeeping,Career & Tech Ed,Business Education,Accounting,Accounting,,Associate Degrees,1
292,Fiscal Year 2019,Kaua`i CC,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Technology,,,Certs of Achievement,1
293,Fiscal Year 2020,Maui College,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Associate Degrees,11
294,Fiscal Year 2020,Kapi`olani CC,301801,Natural Science,General & Pre-Prof Ed,Natural Sciences,Natural Science,,,Associate Degrees,84
295,Fiscal Year 2020,Windward CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,194
296,Fiscal Year 2020,Honolulu CC,460000,"Construction Trades, General",Career & Tech Ed,Technology,Applied Trades,,,Associate Degrees,342
297,Fiscal Year 2020,Honolulu CC,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Associate Degrees,24
298,Fiscal Year 2020,UH Manoa,500901,"Music, General",College of Arts & Sciences,Arts & Humanities,Music,,,Bachelor's Degrees,15
299,Fiscal Year 2020,Kapi`olani CC,511004,Medical Laboratory Technician,Career & Tech Ed,Health Services,Medical Lab Technician,,,Associate Degrees,4
300,Fiscal Year 2020,Honolulu CC,150701,Occuptnl Environmtl Safety Mgt,Career & Tech Ed,Public Services,Occupational Envir Safety Mgt,,,Certs of Achievement,3
301,Fiscal Year 2020,UH Manoa,140301,Agricultural Engineering,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Molecular Biosci & Bioeng,Biological Engineering,Biological Engineering,Master's Degrees,3
302,Fiscal Year 2020,UH Manoa,160303,Korean,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,Korean,East Asian Lang & Lit-Korean,Doctoral Degrees,2
303,Fiscal Year 2020,UH Manoa,450701,Geography,College of Arts & Sciences,Social Sciences,Geography,Geography,,Master's Degrees,10
304,Fiscal Year 2020,UH West O`ahu,450101,Social Sciences,Social Sciences Division,Social Science,Sociology,,,Bachelor's Degrees,17
305,Fiscal Year 2020,Hawai`i CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire Science,,,Associate Degrees,17
306,Fiscal Year 2020,UH Manoa,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Master's Degrees,5
307,Fiscal Year 2020,UH Manoa,400607,Oceanography,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Oceanography,Oceanography,,Doctoral Degrees,4
308,Fiscal Year 2020,Kapi`olani CC,190203,Consumer Merchg & Retail Mgmt,Career & Tech Ed,Business Education,Retail Management,,,Certs of Achievement,2
309,Fiscal Year 2020,UH Hilo,512001,Pharmacy,College of Pharmacy,Pharmacy,Pharmacy,,,Other,73
310,Fiscal Year 2020,Maui College,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Associate Degrees,14
311,Fiscal Year 2020,UH Manoa,400401,Atmospheric Sci & Meteorology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Atmospheric Sciences,Atmospheric Sciences,,Doctoral Degrees,2
