_id,FISCAL_YEAR,CAMPUS,CIP,CIP_DESC,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,OUTCOME,AWARDS
5914,Fiscal Year 2020,Windward CC,510808,Vet/Animal Hlth Tech &Vet Asst,Career & Tech Ed,Health Services,Veterinary Assisting,,,Certs of Achievement,24
5915,Fiscal Year 2020,Hawai`i CC,520302,Acctg Technician & Bookkeeping,Career & Tech Ed,Business Education,Accounting,,,Certs of Achievement,7
5916,Fiscal Year 2021,UH Manoa,451001,Political Science/Government,College of Arts & Sciences,Social Sciences,Political Science,,,Bachelor's Degrees,72
5917,Fiscal Year 2021,UH Manoa,520301,Accounting,College of Business Admin,Business Administration,School of Accountancy,Accounting,,Master's Degrees,19
5918,Fiscal Year 2021,UH Manoa,500701,Art,College of Arts & Sciences,Arts & Humanities,Art,Art,,Bachelor's Degrees,84
5919,Fiscal Year 2020,UH Manoa,143301,Construction Engineering & Mgt,College of Engineering,Engineering,Construction Engineering,,,Bachelor's Degrees,4
5920,Fiscal Year 2020,Hawai`i CC,480508,Welding,Career & Tech Ed,Technology,"Mach, Weld & Ind Mech Tech","Mach, Welding & Ind Mech Tech",,Certs of Achievement,9
5921,Fiscal Year 2020,Honolulu CC,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Certs of Achievement,4
5922,Fiscal Year 2021,UH Hilo,260101,"Biology/Biological Sci, Gen",College of Arts & Sciences,Natural Sciences,Biology,,,Bachelor's Degrees,31
5923,Fiscal Year 2021,UH Hilo,310505,Exercise & Sports Science,College of Arts & Sciences,Social Sciences,Kinesiology & Exercise Science,,,Bachelor's Degrees,37
5924,Fiscal Year 2021,Kaua`i CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,52
5925,Fiscal Year 2021,Kapi`olani CC,510806,Physical Therapy Assistant,Career & Tech Ed,Health Services,Physical Therapist Assistant,,,Associate Degrees,14
5926,Fiscal Year 2021,UH Hilo,422803,Counseling Psychology,College of Arts & Sciences,Social Sciences,Psychology,Counseling Psychology,,Master's Degrees,24
5927,Fiscal Year 2021,UH West O`ahu,450101,Social Sciences,Social Sciences Division,Social Science,Sociology,,,Bachelor's Degrees,16
5928,Fiscal Year 2021,Kapi`olani CC,510904,Emergency Medical Services Mgt,Career & Tech Ed,Health Services,Mobile Intens Care Technician,,,Associate Degrees,10
5929,Fiscal Year 2021,Kapi`olani CC,100399,New Media Arts,Career & Tech Ed,Technology,New Media Arts,,,Associate Degrees,13
5930,Fiscal Year 2021,UH Manoa,520201,"Business Admin & Mgmt, General",College of Business Admin,Business Administration,Business Administration,,,Master's Degrees,92
5931,Fiscal Year 2021,UH Manoa,400201,Astronomy,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Astronomy,,Bachelor's Degrees,5
5932,Fiscal Year 2021,UH Manoa,500501,Drama & Theatre,College of Arts & Sciences,Arts & Humanities,Theater & Dance,Theatre,,Bachelor's Degrees,7
5933,Fiscal Year 2021,Maui College,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Certs of Achievement,11
5934,Fiscal Year 2021,UH Manoa,141001,Electrical Engineering,College of Engineering,Engineering,Electrical Engineering,,,Bachelor's Degrees,55
5935,Fiscal Year 2021,UH West O`ahu,130101,"Education, General",Education,Education,Education,Elementary Education,,Bachelor's Degrees,17
5936,Fiscal Year 2021,Honolulu CC,120401,Cosmetology,Career & Tech Ed,Technology,Cosmetology,,,Certs of Achievement,11
5937,Fiscal Year 2021,UH West O`ahu,520201,"Business Admin & Mgmt, General",Professional Studies Division,Business Administration,Finance,,,Bachelor's Degrees,24
5938,Fiscal Year 2021,Windward CC,018301,Vet/AnimHlthTech/Techn&VetAsst,Career & Tech Ed,Health Services,Veterinary Technology,,,Associate Degrees,23
5939,Fiscal Year 2021,Kaua`i CC,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Certs of Achievement,16
5940,Fiscal Year 2021,Honolulu CC,480508,Welding,Career & Tech Ed,Technology,Welding Technology,,,Associate Degrees,12
5941,Fiscal Year 2021,Hawai`i CC,151303,Arch Engineering & CAD Tech,Career & Tech Ed,Technology,Architectural Eng & CAD Tech,Architectural Eng & CAD Tech,,Associate Degrees,5
5942,Fiscal Year 2021,Hawai`i CC,050202,American Indian/Native Studies,General & Pre-Prof Ed,Hawaiian Studies,,,,Associate Degrees,6
5943,Fiscal Year 2021,UH Manoa,011299,"Soil Sciences, Other",Col of Trop Ag & Human Res,Tropical Ag & Human Res,Tropical Plant & Soil Sci,Tropical Plant & Soil Sciences,,Doctoral Degrees,1
5944,Fiscal Year 2022,UH Hilo,512001,Pharmacy,College of Pharmacy,Pharmacy,Pharmacy Studies,,,Bachelor's Degrees,69
5945,Fiscal Year 2021,Maui College,460415,Construction Technology,Career & Tech Ed,Technology,Construction Technology,,,Associate Degrees,3
5946,Fiscal Year 2021,UH Manoa,140301,Agricultural Engineering,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Molecular Biosci & Bioeng,Biological Engineering,Biological Engineering,Bachelor's Degrees,5
5947,Fiscal Year 2021,Maui College,440000,Adult Services,Career & Tech Ed,Public Services,Human Services,,,Certs of Achievement,1
5948,Fiscal Year 2022,UH Manoa,130401,Educational Administration,College of Education,Education,Educational Administration,Educational Administration,,Master's Degrees,23
5949,Fiscal Year 2022,Kapi`olani CC,510803,Occupational Therapy Assistant,Career & Tech Ed,Health Services,Occupational Therapy Assistant,,,Associate Degrees,10
5950,Fiscal Year 2022,Kapi`olani CC,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Associate Degrees,67
5951,Fiscal Year 2022,Leeward CC,131501,Teacher Assistant/Aide,Career & Tech Ed,Teaching,Teaching,,,Associate Degrees,56
5952,Fiscal Year 2022,UH Manoa,301901,Food Science & Human Nutrition,Col of Trop Ag & Human Res,Tropical Ag & Human Res,"Hum Nutr, Food & Animal Sci",Nutritional Sciences,,Doctoral Degrees,2
5953,Fiscal Year 2022,UH Manoa,100304,"Animation, Interactive Tech, V","College of Arts, Lang & Ltrs",Arts & Humanities,Academy for Creative Media,Creative Media,,Bachelor's Degrees,64
5954,Fiscal Year 2022,UH Manoa,521201,Business Computer Info Sys,College of Business Admin,Business Administration,Management Information Systems,,,Master's Degrees,6
5955,Fiscal Year 2022,UH West O`ahu,520201,"Business Admin & Mgmt, General",Professional Studies Division,Business Administration,Management,,,Bachelor's Degrees,55
5956,Fiscal Year 2022,UH Manoa,513101,Dietetics/Dietitian,Col of Trop Ag & Human Res,Tropical Ag & Human Res,"Hum Nutr, Food & Animal Sci",Dietetics,,Bachelor's Degrees,18
5957,Fiscal Year 2022,UH Manoa,261201,Biotechnology,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Molecular Biosci & Bioeng,Molecular Biosciences &Biotech,,Bachelor's Degrees,18
5958,Fiscal Year 2022,UH Manoa,260502,Microbiology,College of Natural Sciences,Natural Sciences,Life Sciences,Microbiology,,Doctoral Degrees,1
5959,Fiscal Year 2022,Kaua`i CC,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Certs of Achievement,2
5960,Fiscal Year 2022,Hawai`i CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Associate Degrees,6
5961,Fiscal Year 2022,Honolulu CC,120401,Cosmetology,Career & Tech Ed,Technology,Cosmetology,,,Associate Degrees,21
5962,Fiscal Year 2022,UH Manoa,260701,Zoology,College of Natural Sciences,Natural Sciences,Life Sciences,Zoology,,Bachelor's Degrees,1
5963,Fiscal Year 2022,Hawai`i CC,520302,Acctg Technician & Bookkeeping,Career & Tech Ed,Business Education,Accounting,,,Certs of Achievement,11
5964,Fiscal Year 2022,UH Manoa,260102,Biomedical Science,School of Medicine,School of Medicine,Biomedical Sciences,,,Doctoral Degrees,2
5965,Fiscal Year 2022,Maui College,460415,Construction Technology,Career & Tech Ed,Technology,Construction Technology,,,Associate Degrees,6
5966,Fiscal Year 2022,Kaua`i CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Associate Degrees,10
5967,Fiscal Year 2022,UH Manoa,140901,"Computer Engineering, General",College of Engineering,Engineering,Computer Engineering,,,Bachelor's Degrees,15
5968,Fiscal Year 2022,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,Secondary Education,Other,27
5969,Fiscal Year 2022,UH Manoa,500501,Drama & Theatre,"College of Arts, Lang & Ltrs",Arts & Humanities,Theatre & Dance,Theatre,,Doctoral Degrees,3
5970,Fiscal Year 2022,UH Hilo,050202,American Indian/Native Studies,Ka Haka Ula O Keelikolani,Hawaiian Lang & Lit,Hawaiian Studies,,,Bachelor's Degrees,9
5971,Fiscal Year 2022,Honolulu CC,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Associate Degrees,11
5972,Fiscal Year 2022,UH Manoa,400601,Geology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Earth Sciences,Earth Science,,Bachelor's Degrees,1
5973,Fiscal Year 2022,UH Manoa,440701,Social Work,School of Social Work,School of Social Work,Social Welfare,,,Doctoral Degrees,1
5974,Fiscal Year 2022,UH Manoa,260406,Cell/Cellular & Molecular Biol,School of Medicine,School of Medicine,Cell & Molecular Biology,,,Doctoral Degrees,1
5975,Fiscal Year 2022,Leeward CC,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Tech,Business Technology,,Certs of Achievement,1
5976,Fiscal Year 2023,UH Manoa,521401,Marketing,College of Business Admin,Business Administration,Marketing,,,Bachelor's Degrees,144
5977,Fiscal Year 2023,UH Manoa,420101,"Psychology, General",College of Social Sciences,Social Sciences,Psychology,Psychology,,Bachelor's Degrees,201
5978,Fiscal Year 2023,UH Manoa,131401,Eng for Speakers of other Lang,"College of Arts, Lang & Ltrs","Lang, Ling & Lit",Second Lang Studies,Second Lang Studies,Second Language Studies,Master's Degrees,13
5979,Fiscal Year 2023,UH West O`ahu,450101,Social Sciences,Social Sciences Division,Social Science,Psychology,,,Bachelor's Degrees,75
5980,Fiscal Year 2023,UH Manoa,030104,Global Environmental Science,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Oceanography,Global Environmental Science,,Bachelor's Degrees,12
5981,Fiscal Year 2023,UH Manoa,050202,American Indian/Native Studies,Hawai`inuiakea Sch Hawn Knowledge,Hawaiian Studies,Hawaiian Studies,,,Bachelor's Degrees,29
5982,Fiscal Year 2023,UH Manoa,011299,"Soil Sciences, Other",Col of Trop Ag & Human Res,Tropical Ag & Human Res,Tropical Plant & Soil Sci,Tropical Plant & Soil Sciences,,Master's Degrees,7
5983,Fiscal Year 2023,UH Manoa,500701,Art,"College of Arts, Lang & Ltrs",Arts & Humanities,Art and Art History,Art,,Bachelor's Degrees,61
5984,Fiscal Year 2023,Kapi`olani CC,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Certs of Achievement,38
5985,Fiscal Year 2023,UH Manoa,131299,Teacher Education,College of Education,Education,Inst for Teacher Ed,Education,Teaching,Master's Degrees,35
5986,Fiscal Year 2023,UH Manoa,090401,Journalism,College of Social Sciences,Social Sciences,Communication & Information,Communications,Journalism,Bachelor's Degrees,15
5987,Fiscal Year 2023,UH Manoa,160901,French,"College of Arts, Lang & Ltrs","Lang, Ling & Lit",Lang & Lit of Europe & Amer,French,French,Bachelor's Degrees,10
5988,Fiscal Year 2023,UH Manoa,500901,"Music, General","College of Arts, Lang & Ltrs",Arts & Humanities,Music,Music,,Master's Degrees,8
5989,Fiscal Year 2023,UH Manoa,380101,Philosophy,"College of Arts, Lang & Ltrs",Arts & Humanities,Philosophy,Philosophy,,Bachelor's Degrees,7
5990,Fiscal Year 2023,Leeward CC,011101,"Plant Sciences, General",Career & Tech Ed,Technology,Plant Bioscience,,,Associate Degrees,2
5991,Fiscal Year 2023,Hawai`i CC,100304,"Animation, Interactive Tech, V",Career & Tech Ed,Humanities,Creative Media,,,Associate Degrees,9
5992,Fiscal Year 2023,Kaua`i CC,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Tech,Automotive Technology,,Certs of Achievement,37
5993,Fiscal Year 2023,Maui College,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Certs of Achievement,11
5994,Fiscal Year 2023,Leeward CC,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Tech,Business Technology,,Certs of Achievement,9
5995,Fiscal Year 2023,Leeward CC,520204,Office Mmgt and Supervision,Career & Tech Ed,Business Education,Management,,,Certs of Achievement,19
5996,Fiscal Year 2023,Kapi`olani CC,513901,Lic Practical/Voc Nurse Trng,Career & Tech Ed,Health Services,Nursing,Practical Nursing,,Certs of Achievement,9
5997,Fiscal Year 2023,Honolulu CC,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Tech,Automotive Technology,,Certs of Achievement,9
5998,Fiscal Year 2023,UH Manoa,451001,Political Science/Government,College of Social Sciences,Social Sciences,Political Science,Political Science,,Master's Degrees,15
5999,Fiscal Year 2023,Hawai`i CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire Science,,,Associate Degrees,18
6000,Fiscal Year 2023,Hawai`i CC,110103,Information Technology,Career & Tech Ed,Business Education,Information Tech,Information Technology,,Certs of Achievement,13
6001,Fiscal Year 2023,Kapi`olani CC,520302,Acctg Technician & Bookkeeping,Career & Tech Ed,Business Education,Accounting,Accounting,,Certs of Achievement,12
6002,Fiscal Year 2023,UH Hilo,131299,Teacher Education,College of Arts & Sciences,Social Sciences,Education,Teaching,,Master's Degrees,10
6003,Fiscal Year 2023,UH Manoa,130401,Educational Administration,College of Education,Education,Ed Foundations,Professional Education Practice,,Other,1
6004,Fiscal Year 2023,UH Manoa,310505,Exercise & Sports Science,College of Education,Education,Kinesiology & Rehab Sci,Kinesiology & Rehab Sci,,Master's Degrees,9
6005,Fiscal Year 2023,UH Hilo,512001,Pharmacy,College of Pharmacy,Pharmacy,Pharmacy Studies,,,Bachelor's Degrees,40
6006,Fiscal Year 2023,UH Manoa,420101,"Psychology, General",College of Social Sciences,Social Sciences,Psychology,Psychology,,Master's Degrees,8
6007,Fiscal Year 2023,UH Manoa,500501,Drama & Theatre,"College of Arts, Lang & Ltrs",Arts & Humanities,Theatre & Dance,Theatre,,Bachelor's Degrees,10
6008,Fiscal Year 2023,Honolulu CC,151001,Construction Engineering Tech,Career & Tech Ed,Technology,"Architecture,Eng.&Construction","Architecture,Eng.&Construction",,Certs of Achievement,1
6009,Fiscal Year 2024,Kapi`olani CC,100399,New Media Arts,Career & Tech Ed,Technology,New Media Arts,,,Associate Degrees,12
6010,Fiscal Year 2024,UH Manoa,260301,Botany,College of Natural Sciences,School of Life Sciences,Botany,,,Bachelor's Degrees,12
6011,Fiscal Year 2024,Leeward CC,131001,Special Education,Career & Tech Ed,Teaching,Special Education,,,Other,21
6012,Fiscal Year 2024,UH Manoa,260503,Medical Micro & Bacteriology,School of Medicine,Health Sciences,Tropical Medicine & Med Micro,Biomed Sci (Tropical Medicine),,Doctoral Degrees,5
6013,Fiscal Year 2024,UH Manoa,301901,Food Science & Human Nutrition,Col of Trop Ag & Human Res,"Human Nutritn,Food & Animal Sc",Nutritional Sciences,,,Master's Degrees,4
6014,Fiscal Year 2023,Kaua`i CC,460201,Carpentry,Career & Tech Ed,Technology,Carpentry Technology,,,Certs of Achievement,4
6015,Fiscal Year 2024,UH Manoa,050202,American Indian/Native Studies,Hawai`inuiakea Sch Hawn Knowledge,Hawaiian Studies,Hawaiian Studies,,,Bachelor's Degrees,22
6016,Fiscal Year 2024,UH Manoa,140801,Civil Engineering,College of Engineering,"Civil, Envir and Constr Eng",Civil Engineering,,,Doctoral Degrees,5
6017,Fiscal Year 2024,UH Manoa,169999,"Foreign Languages & Lit, Oth","College of Arts, Lang & Ltrs",Lang & Lit of Europe & Amer,Lang & Lit of Europe & Amer,,,Bachelor's Degrees,12
6018,Fiscal Year 2024,UH Manoa,400501,"Chemistry, General",College of Natural Sciences,Chemistry,Chemistry,,,Bachelor's Degrees,10
6019,Fiscal Year 2024,Honolulu CC,460201,Carpentry,Career & Tech Ed,Technology,Carpentry Technology,,,Certs of Achievement,44
6020,Fiscal Year 2023,UH Manoa,511005,Medical Technology,School of Medicine,School of Medicine,Medical Technology,,,Bachelor's Degrees,1
6021,Fiscal Year 2024,UH Manoa,400601,Geology,Schl of Ocean & Earth Sci & Tech,Earth Sciences,Earth Science,,,Bachelor's Degrees,12
6022,Fiscal Year 2024,Kaua`i CC,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Tech,Automotive Technology,,Associate Degrees,2
6023,Fiscal Year 2024,UH Manoa,010308,Agroecology & Sustainable Agri,Col of Trop Ag & Human Res,Tropical Plant & Soil Science,Trop Agriculture & Environment,,,Bachelor's Degrees,11
6024,Fiscal Year 2024,UH Manoa,310501,Health & Physcial Education,College of Education,Kinesiology & Rehab Science,"KRS, Health & Physical Ed",,,Bachelor's Degrees,6
6025,Fiscal Year 2024,UH Manoa,261302,Marine Biology & Bio Ocean,College of Natural Sciences,School of Life Sciences,Marine Biology,,,Doctoral Degrees,3
6026,Fiscal Year 2024,UH Manoa,131001,Special Education,College of Education,Special Education,Special Education,,,Other,22
6027,Fiscal Year 2024,Hawai`i CC,460201,Carpentry,Career & Tech Ed,Technology,Carpentry Technology,,,Certs of Achievement,8
6028,Fiscal Year 2024,Hawai`i CC,460302,Elec Install & Maint Tech,Career & Tech Ed,Technology,Electrical Install/Maint Tech,,,Associate Degrees,11
6029,Fiscal Year 2024,UH Manoa,131001,Special Education,College of Education,School of Teacher Education,Elem Education & Special Educ,,,Bachelor's Degrees,22
6030,Fiscal Year 2024,UH Manoa,400201,Astronomy,College of Natural Sciences,Physics & Astronomy,Astronomy,,,Doctoral Degrees,3
6031,Fiscal Year 2024,UH Manoa,143301,Construction Engineering & Mgt,College of Engineering,"Civil, Envir and Constr Eng",Construction Engineering,,,Bachelor's Degrees,4
6032,Fiscal Year 2024,UH Maui College,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Technology,,,Associate Degrees,11
6033,Fiscal Year 2025,UH Manoa,450201,Anthropology,College of Social Sciences,Anthropology,Anthropology,,,Bachelor's Degrees,26
6034,Fiscal Year 2024,UH Manoa,160501,German,"College of Arts, Lang & Ltrs",Lang & Lit of Europe & Amer,German,,,Bachelor's Degrees,1
6035,Fiscal Year 2024,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Culinary Management,,,Bachelor's Degrees,1
6036,Fiscal Year 2025,UH Manoa,131401,Eng for Speakers of other Lang,"College of Arts, Lang & Ltrs",Second Language Studies,Second Language Studies,,,Doctoral Degrees,6
6037,Fiscal Year 2025,UH West O`ahu,520201,"Business Admin & Mgmt, General",Professional Studies Division,Business Administration,Management,,,Bachelor's Degrees,34
6038,Fiscal Year 2025,UH Manoa,450603,Econometrics & Quant Economics,College of Social Sciences,Economics,Economics,,,Master's Degrees,7
6039,Fiscal Year 2025,UH Manoa,310505,Exercise & Sports Science,College of Education,Kinesiology & Rehab Science,"KRS, Health & Exercise Science",,,Bachelor's Degrees,131
6040,Fiscal Year 2025,Hawai`i CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire Science,,,Associate Degrees,28
6041,Fiscal Year 2025,UH Manoa,520801,Finance,College of Business,Finance,Finance,,,Master's Degrees,1
6042,Fiscal Year 2025,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Justice Administration,,,Bachelor's Degrees,27
6043,Fiscal Year 2025,Leeward CC,131501,Teacher Assistant/Aide,Career & Tech Ed,Teaching,Teaching,,,Associate Degrees,21
6044,Fiscal Year 2025,UH West O`ahu,100304,"Animation, Interactive Tech, V",Academy for Creative Media,Creative Media,Creative Media,Design & Media,,Bachelor's Degrees,6
6045,Fiscal Year 2025,Leeward CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Certs of Achievement,16
6046,Fiscal Year 2025,Honolulu CC,470608,Aircraft Powerplant Technology,Career & Tech Ed,Technology,Aeronautics Maint Tech,,,Certs of Achievement,14
6047,Fiscal Year 2025,UH Maui College,460415,Construction Technology,Career & Tech Ed,Technology,Construction Technology,,,Certs of Achievement,5
6048,Fiscal Year 2025,Honolulu CC,460201,Carpentry,Career & Tech Ed,Technology,Carpentry Technology,,,Associate Degrees,15
6049,Fiscal Year 2025,UH Manoa,450901,International Relations,"College of Arts, Lang & Ltrs",Asian Studies,Asian International Affairs,,,Master's Degrees,5
6050,Fiscal Year 2025,UH Maui College,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Associate Degrees,6
6051,Fiscal Year 2025,UH Manoa,260701,Zoology,College of Natural Sciences,School of Life Sciences,Zoology,,,Master's Degrees,2
6052,Fiscal Year 2025,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Long Term Care,,,Bachelor's Degrees,1
6053,Fiscal Year 2025,UH Manoa,500512,Theatre & Dance,"College of Arts, Lang & Ltrs",Theatre & Dance,Theatre & Dance,,,Master's Degrees,8
6054,Fiscal Year 2025,UH Maui College,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Certs of Achievement,3
6055,Fiscal Year 2025,Honolulu CC,460302,Elec Install & Maint Tech,Career & Tech Ed,Technology,Electrical Install/Maint Tech,,,Associate Degrees,14
6056,Fiscal Year 2025,Hawai`i CC,460201,Carpentry,Career & Tech Ed,Technology,Carpentry Technology,,,Certs of Achievement,9
6057,Fiscal Year 2025,Hawai`i CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Associate Degrees,5
6058,Fiscal Year 2025,UH Manoa,500701,Art,"College of Arts, Lang & Ltrs",Art and Art History,Art,,,Master's Degrees,3
6059,Fiscal Year 2025,UH Manoa,270101,"Mathematics, General",College of Natural Sciences,Mathematics,Mathematics,,,Master's Degrees,4
6060,Fiscal Year 2025,UH Manoa,450701,Geography,College of Social Sciences,Geography & Environment,Geography,,,Master's Degrees,1
6061,Fiscal Year 2025,UH Manoa,500501,Drama & Theatre,"College of Arts, Lang & Ltrs",Theatre & Dance,Theatre,,,Bachelor's Degrees,1
6062,Fiscal Year 2010,UH Manoa,260901,Physiology,School of Medicine,School of Medicine,Biomed Sci (Physiology),,,Master's Degrees,7
6063,Fiscal Year 2010,UH Manoa,131299,Teacher Education,College of Education,Education,Inst for Teacher Ed,Teaching,,Master's Degrees,68
6064,Fiscal Year 2010,UH Manoa,130501,Educational Tech,College of Education,Education,Educational Technology,,,Master's Degrees,28
6065,Fiscal Year 2010,UH Manoa,230101,"English, General",College of Arts & Sciences,"Lang, Ling & Lit",English,,,Master's Degrees,20
6066,Fiscal Year 2010,UH Manoa,260301,Botany,College of Arts & Sciences,Natural Sciences,Botany Program,Botany,,Bachelor's Degrees,7
6067,Fiscal Year 2010,Hawai`i CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Associate Degrees,6
6068,Fiscal Year 2010,UH Manoa,190499,Family Resources,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Family & Consumer Sci,Family Resources,,Bachelor's Degrees,52
6069,Fiscal Year 2010,Maui CC,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,4
6070,Fiscal Year 2010,Honolulu CC,150701,Occuptnl Environmtl Safety Mgt,Career & Tech Ed,Public Services,Occupational Envir Safety Mgt,,,Associate Degrees,10
6071,Fiscal Year 2010,Leeward CC,520201,"Business Admin & Mgmt, General",Career & Tech Ed,Business Education,Management,,,Associate Degrees,6
6072,Fiscal Year 2010,UH Manoa,450701,Geography,College of Arts & Sciences,Social Sciences,Geography,Geography,,Master's Degrees,5
6073,Fiscal Year 2010,Windward CC,510808,Vet/Animal Hlth Tech &Vet Asst,Career & Tech Ed,Health Services,Veterinary Assisting,,,Certs of Achievement,4
6074,Fiscal Year 2010,Maui CC,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality and Tourism,,Certs of Achievement,4
6075,Fiscal Year 2010,Honolulu CC,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Associate Degrees,18
6076,Fiscal Year 2010,Leeward CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,9
6077,Fiscal Year 2010,UH Manoa,011299,"Soil Sciences, Other",Col of Trop Ag & Human Res,Tropical Ag & Human Res,Tropical Plant & Soil Sci,Tropical Plant & Soil Sciences,,Master's Degrees,2
6078,Fiscal Year 2010,Kapi`olani CC,510907,Radiology,Career & Tech Ed,Health Services,Radiologic Technology,,,Associate Degrees,28
6079,Fiscal Year 2010,Honolulu CC,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Certs of Achievement,1
6080,Fiscal Year 2010,UH Manoa,160303,Korean,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,East Asian Lang & Lit-Korean,,Doctoral Degrees,1
6081,Fiscal Year 2011,UH Manoa,520903,Travel Industry Management,School of Travel Industry Mgt,Travel Industry Management,Travel Industry Management,,,Bachelor's Degrees,102
6082,Fiscal Year 2011,Kapi`olani CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,383
6083,Fiscal Year 2011,UH Manoa,450201,Anthropology,College of Arts & Sciences,Social Sciences,Anthropology,,,Master's Degrees,11
6084,Fiscal Year 2011,UH Manoa,270101,"Mathematics, General",College of Arts & Sciences,Natural Sciences,Mathematics,,,Bachelor's Degrees,16
6085,Fiscal Year 2011,UH Manoa,130501,Educational Tech,College of Education,Education,Educational Technology,,,Master's Degrees,37
6086,Fiscal Year 2011,UH Manoa,310505,Exercise & Sports Science,College of Education,Education,Kinesiology & Rehab Sci,"KRS, Hlth/Exer Sci & Lifest Mg",,Bachelor's Degrees,44
6087,Fiscal Year 2011,UH Manoa,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Physics,,Bachelor's Degrees,2
6088,Fiscal Year 2011,UH Manoa,400601,Geology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Geology,Geology & Geophysics,,Doctoral Degrees,7
6089,Fiscal Year 2011,Kaua`i CC,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality and Tourism,,Associate Degrees,4
6090,Fiscal Year 2011,Kaua`i CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,,,Associate Degrees,14
6091,Fiscal Year 2011,UH Manoa,099999,Communication & Information Sc,College of Arts & Sciences,Other Arts & Sciences,Communication & Info Science,,,Doctoral Degrees,3
6092,Fiscal Year 2012,UH Manoa,500901,"Music, General",College of Arts & Sciences,Arts & Humanities,Music,,,Master's Degrees,17
6093,Fiscal Year 2012,Kapi`olani CC,261201,Biotechnology,Career & Tech Ed,Health Services,Biotechnician,,,Certs of Achievement,4
6094,Fiscal Year 2012,UH Manoa,422806,Educational Psychology,College of Education,Education,Educational Psychology,,,Master's Degrees,10
6095,Fiscal Year 2011,UH Manoa,140801,Civil Engineering,College of Engineering,Engineering,Civil Engineering,,,Bachelor's Degrees,61
